camera_shop_name,camera_shop_url,camera_shop_address,camera_shop_phone_number,camera_shop_hours
D-BASE,https://en.yelp.com.hk/biz/d-base-%E9%A6%99%E6%B8%AF,"Shop 111, 1/F, Wan Chai Computer Centre, 130 Hennessy Road",2915 3782,"Hours
Mon 10:00 am - 9:00 pm Open now
Tue 10:00 am - 9:00 pm
Wed 10:00 am - 9:00 pm
Thu 10:00 am - 9:00 pm
Fri 10:00 am - 9:00 pm
Sat 10:00 am - 9:00 pm
Sun 10:30 am - 8:00 pm
Edit business info"
AGFA DIGITAL EXPRESS,https://en.yelp.com.hk/biz/%E6%95%B8%E7%A2%BC%E5%BF%AB%E7%B7%9A-%E9%A6%99%E6%B8%AF,"Shop 16, G/F, 3-9 Wing Wo Street",2581 3916,"Hours
Mon 9:00 am - 7:00 pm Open now
Tue 9:00 am - 7:00 pm
Wed 9:00 am - 7:00 pm
Thu 9:00 am - 7:00 pm
Fri 9:00 am - 7:00 pm
Sat 9:00 am - 6:00 pm
Sun Closed
Edit business info"
DIGITAL FOTO,https://en.yelp.com.hk/biz/digital-foto-%E9%A6%99%E6%B8%AF,130 Hennessy Road,,"Hours
Mon 10:00 am - 9:00 pm Open now
Tue 10:00 am - 9:00 pm
Wed 10:00 am - 9:00 pm
Thu 10:00 am - 9:00 pm
Fri 10:00 am - 9:00 pm
Sat 10:00 am - 9:00 pm
Sun 10:00 am - 9:00 pm
Edit business info"
SUNRISE PROFESSIONAL PHOTOFINISHING,https://en.yelp.com.hk/biz/%E6%9D%B1%E6%98%87%E5%B0%88%E6%A5%AD%E6%B2%96%E5%8D%B0-%E9%A6%99%E6%B8%AF,"G/F, 333 Lai Chi Kok Road",2386 2048,"Hours
Mon 10:30 am - 8:00 pm Open now
Tue 10:30 am - 8:00 pm
Wed 10:30 am - 8:00 pm
Thu 10:30 am - 8:00 pm
Fri 10:30 am - 8:00 pm
Sat 10:30 am - 8:00 pm
Sun Closed
Edit business info"
WING SHING PHOTO SUPPLIES CO.,https://en.yelp.com.hk/biz/%E6%B0%B8%E6%88%90%E6%94%9D%E5%BD%B1%E5%99%A8%E6%9D%90-%E9%A6%99%E6%B8%AF,"G/F, 55-69 Sai Yeung Choi Street South",2396 6886,"Hours
Mon 10:00 am - 9:30 pm Open now
Tue 10:00 am - 9:30 pm
Wed 10:00 am - 9:30 pm
Thu 10:00 am - 9:30 pm
Fri 10:00 am - 9:30 pm
Sat 10:00 am - 9:30 pm
Sun 10:00 am - 9:30 pm
Edit business info"
PHOTO SCIENTIFIC,https://en.yelp.com.hk/biz/%E6%94%9D%E5%BD%B1%E7%A7%91%E5%AD%B8-%E9%A6%99%E6%B8%AF-3,Located in Wing Sing Commercial Centre,2525 0550,"Hours
Mon 10:00 am - 6:30 pm Open now
Tue 10:00 am - 6:30 pm
Wed 10:00 am - 6:30 pm
Thu 10:00 am - 6:30 pm
Fri 10:00 am - 6:30 pm
Sat 10:00 am - 3:00 pm
Sun Closed
Edit business info"
TIN CHEUNG CAMERA,https://en.yelp.com.hk/biz/%E5%A4%A9%E7%A5%A5%E6%94%9D%E5%BD%B1%E5%99%A8%E6%9D%90%E5%85%AC%E5%8F%B8-%E9%A6%99%E6%B8%AF-5,Located in iSQUARE,Located in iSQUARE,"Hours
Mon 11:00 am - 8:00 pm Open now
Tue 11:00 am - 8:00 pm
Wed 11:00 am - 8:00 pm
Thu 11:00 am - 8:00 pm
Fri 11:00 am - 8:00 pm
Sat 11:00 am - 8:00 pm
Sun 11:00 am - 8:00 pm
Edit business info"
DOT-WELL PHOTO WORKSHOP,https://en.yelp.com.hk/biz/%E5%A4%A9%E7%A5%A5%E6%94%9D%E5%BD%B1%E6%B2%96%E5%8D%B0-%E9%A6%99%E6%B8%AF,"G/F, Carnarvon Mansion, 44 Carnarvon Road, 44 Carnarvon RoadTsim Sha Tsui",2368 3826,"Hours
Mon 11:30 am - 8:30 pm Open now
Tue 11:30 am - 8:30 pm
Wed 11:30 am - 8:30 pm
Thu 11:30 am - 8:30 pm
Fri 11:30 am - 8:30 pm
Sat 11:30 am - 8:30 pm
Sun 11:30 am - 8:30 pm
Edit business info"
MINT STORE,https://en.yelp.com.hk/biz/%E5%AF%B6%E9%BA%97%E4%BE%86%E7%9B%B8%E6%A9%9F%E9%A6%99%E6%B8%AF%E5%B0%88%E8%B3%A3%E5%BA%97-%E9%A6%99%E6%B8%AF,"2/F, 26A Russell Street (near Times Square)",2720 0222,"Hours
Mon 1:00 pm - 9:30 pm Open now
Tue 1:00 pm - 9:30 pm
Wed 1:00 pm - 9:30 pm
Thu 1:00 pm - 9:30 pm
Fri 1:00 pm - 9:30 pm
Sat 1:00 pm - 9:30 pm
Sun 1:00 pm - 9:30 pm
Edit business info"
DRAGON IMAGE,https://en.yelp.com.hk/biz/dragon-image-hong-kong,"Flat B, 1/F, 6B O'Brien Rd",2527 5298,"Hours
Mon 10:00 am - 8:00 pm Open now
Tue 10:00 am - 8:00 pm
Wed 10:00 am - 8:00 pm
Thu 10:00 am - 8:00 pm
Fri 10:00 am - 8:00 pm
Sat 10:00 am - 8:00 pm
Sun Closed
Edit business info"
PHOTO-GOLDEN CO.,https://en.yelp.com.hk/biz/%E9%87%91%E8%97%9D%E5%B0%88%E6%A5%AD%E6%95%B8%E7%A2%BC%E6%B2%96%E5%8D%B0%E5%85%AC%E5%8F%B8-%E9%A6%99%E6%B8%AF,"Unit 1501, 15/F, Golden Era Plaza, 39 Sai Yee Street",2783 7087,"Hours
Add business hours"
SHOWA FILM & CAMERA,https://en.yelp.com.hk/biz/%E6%98%AD%E5%92%8C%E7%9B%B8%E6%A9%9F%E5%BA%97-%E9%A6%99%E6%B8%AF-3,"3/F, 66 Sai Yeung Choi Street South",6541 5621,"Hours
Mon 2:00 pm - 9:00 pm Closed now
Tue 2:00 pm - 9:00 pm
Wed 2:00 pm - 9:00 pm
Thu 2:00 pm - 9:00 pm
Fri 2:00 pm - 9:00 pm
Sat 2:00 pm - 9:00 pm
Sun 2:00 pm - 9:00 pm
Edit business info"
YING KEE TRADING,https://en.yelp.com.hk/biz/%E7%91%A9%E8%A8%98%E8%B2%BF%E6%98%93-%E9%A6%99%E6%B8%AF,"G/F, 154 Apliu Street",2725 2373,"Hours
Mon 11:00 am - 8:30 pm Open now
Tue 11:00 am - 8:30 pm
Wed 11:00 am - 8:30 pm
Thu 11:00 am - 8:30 pm
Fri 11:00 am - 8:30 pm
Sat 11:00 am - 8:30 pm
Sun 11:00 am - 8:30 pm
Edit business info"
FAST MAN ONE HOUR PHOTO,https://en.yelp.com.hk/biz/%E5%BF%AB%E6%95%8F%E4%B8%80%E5%B0%8F%E6%99%82%E6%B2%96%E5%8D%B0-%E9%A6%99%E6%B8%AF,Located in Lucky Plaza Commercial Complex,Located in Lucky Plaza Commercial Complex,"Hours
Mon 10:00 am - 8:00 pm Open now
Tue 10:00 am - 8:00 pm
Wed 10:00 am - 8:00 pm
Thu 10:00 am - 8:00 pm
Fri 10:00 am - 8:00 pm
Sat 10:00 am - 8:00 pm
Sun 10:00 am - 8:00 pm
Edit business info"
CAM SQUARE,https://en.yelp.com.hk/biz/%E7%85%A7%E7%9B%B8%E5%9D%8A-%E9%A6%99%E6%B8%AF,"Chung Kiu Commercial Building, 47-51 Shan Tung Street",2264 8002,"Hours
Add business hours"
WING SHING PHOTO SUPPLIES,https://en.yelp.com.hk/biz/%E6%B0%B8%E6%88%90%E6%94%9D%E5%BD%B1%E5%99%A8%E6%9D%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-%E9%A6%99%E6%B8%AF,"G/F, 87-95 Fa Yuen Street, 87-95 Fa Yuen Street",2396 6885,"Hours
Mon 10:30 am - 10:00 pm Open now
Tue 10:30 am - 10:00 pm
Wed 10:30 am - 10:00 pm
Thu 10:30 am - 10:00 pm
Fri 10:30 am - 10:00 pm
Sat 10:30 am - 10:00 pm
Sun 10:30 am - 10:00 pm
Edit business info"
UNIVERSAL ELECTRONICS INDUSTRIES LTD.,https://en.yelp.com.hk/biz/%E5%AE%87%E5%AE%99%E6%94%9D%E5%BD%B1%E5%99%A8%E6%9D%90%E4%B8%AD%E5%BF%83-%E9%A6%99%E6%B8%AF,"3/F, Shop 334, 47-51 Shan Tung Street",2781 0383,"Hours
Mon 11:30 am - 8:30 pm Open now
Tue Closed
Wed 11:30 am - 8:30 pm
Thu 11:30 am - 8:30 pm
Fri 11:30 am - 8:30 pm
Sat 11:30 am - 8:30 pm
Sun 11:30 am - 8:30 pm
Edit business info"
HENG FUNG PHOTO SUPPLIES,https://en.yelp.com.hk/biz/heng-fung-photo-supplies-%E9%A6%99%E6%B8%AF,"G/F, 151 Apliu St",2708 7188,"Hours
Mon 11:00 am - 9:00 pm Open now
Tue 11:00 am - 9:00 pm
Wed 11:00 am - 9:00 pm
Thu 11:00 am - 9:00 pm
Fri 11:00 am - 9:00 pm
Sat 11:00 am - 9:00 pm
Sun 11:00 am - 9:00 pm
Edit business info"
PAK HOP PHOTO,https://en.yelp.com.hk/biz/%E7%99%BE%E5%90%88%E7%85%A7%E7%9B%B8%E9%A4%A8-%E9%A6%99%E6%B8%AF,"317, 3/F, 3 Tak Hau Street",2697 3862,"Hours
Mon 10:30 am - 7:00 pm Open now
Tue 10:30 am - 7:00 pm
Wed 10:30 am - 7:00 pm
Thu 10:30 am - 7:00 pm
Fri 10:30 am - 7:00 pm
Sat 10:30 am - 7:00 pm
Sun 10:30 am - 7:00 pm
Edit business info"
TF STUDIO,https://en.yelp.com.hk/biz/%E5%A4%A7%E6%96%B9%E5%BD%B1%E5%AE%A4-%E9%A6%99%E6%B8%AF-3,"Shop 116,1/F, Sau Mau Ping Shopping Centre,101 Sau Mau Ping Road",,"Hours
Mon 9:00 am - 9:00 pm Open now
Tue 9:00 am - 9:00 pm
Wed 9:00 am - 9:00 pm
Thu 9:00 am - 9:00 pm
Fri 9:00 am - 9:00 pm
Sat 9:00 am - 9:00 pm
Sun 9:00 am - 9:00 pm
Edit business info"
A&A AUDIO AND VIDEO CENTER,https://en.yelp.com.hk/biz/a-%E5%92%8C-a-audio-and-video-center-%E9%A6%99%E6%B8%AF,"Shop123, Pacific Place",2845 3670,"Hours
Mon 10:00 am - 8:00 pm Open now
Tue 10:00 am - 8:00 pm
Wed 10:00 am - 8:00 pm
Thu 10:00 am - 8:00 pm
Fri 10:00 am - 8:00 pm
Sat 10:00 am - 8:00 pm
Sun 10:30 am - 7:30 pm
Edit business info"
CANON SHOWROOM & CARE CENTRE,https://en.yelp.com.hk/biz/%E4%BD%B3%E8%83%BD%E6%95%B8%E7%A2%BC%E5%BD%B1%E5%83%8F%E5%9D%8A%E4%BD%B3%E8%83%BD%E5%AE%A2%E6%88%B6%E6%9C%8D%E5%8B%99%E4%B8%AD%E5%BF%83-%E9%A6%99%E6%B8%AF,"20/F, Isquare, 63 Nathan Road",3191 2333,"Hours
Mon 11:00 am - 7:00 pm Open now
Tue 11:00 am - 7:00 pm
Wed 11:00 am - 7:00 pm
Thu 11:00 am - 7:00 pm
Fri 11:00 am - 7:00 pm
Sat 11:00 am - 7:00 pm
Sun 11:00 am - 7:00 pm
Edit business info"
MONOCAM20,https://en.yelp.com.hk/biz/monocam20-%E9%A6%99%E6%B8%AF,"Hollywood Plaza, 610 Nathan Road",,"Hours
Mon 4:00 pm - 10:00 pm Closed now
Tue 4:00 pm - 10:00 pm
Wed 4:00 pm - 10:00 pm
Thu 4:00 pm - 10:00 pm
Fri 4:00 pm - 10:00 pm
Sat 4:00 pm - 10:00 pm
Sun 4:00 pm - 10:00 pm
Edit business info"
GOOD TIME DIGITAL PHOTOGRAPHY PRINTING,https://en.yelp.com.hk/biz/%E4%BD%B3%E4%BA%AE%E8%A8%BC%E4%BB%B6%E7%9B%B8%E5%86%B2%E5%8D%B0%E5%BD%B1%E5%8D%B0-%E9%A6%99%E6%B8%AF,77 Woosung Street,3704 7390,"Hours
Mon 10:15 am - 8:00 pm Open now
Tue 10:15 am - 8:00 pm
Wed 10:15 am - 8:00 pm
Thu 10:15 am - 8:00 pm
Fri 10:15 am - 8:00 pm
Sat 10:15 am - 8:00 pm
Sun Closed
Edit business info"
ORIENTAL STUDIO,https://en.yelp.com.hk/biz/%E6%9D%B1%E6%96%B9%E6%94%9D%E5%BD%B1%E6%B2%96%E5%8D%B0-%E9%A6%99%E6%B8%AF,"Flat B, 3/F, Kiu Yip Building, 18 Granville Road",2366 1649,"Hours
Mon 9:30 am - 6:00 pm Open now
Tue 9:30 am - 6:00 pm
Wed 9:30 am - 6:00 pm
Thu 9:30 am - 6:00 pm
Fri 9:30 am - 6:00 pm
Sat 9:30 am - 6:00 pm
Sun 9:30 am - 6:00 pm
Edit business info"
IMAGE PLAYGROUND,https://en.yelp.com.hk/biz/image-playground-central-%E5%92%8C-western,"3/F, 11 Queen Victoria Street",2206 4728,"Hours
Mon 12:00 pm - 8:00 pm Open now
Tue 12:00 pm - 8:00 pm
Wed 12:00 pm - 8:00 pm
Thu 12:00 pm - 8:00 pm
Fri 12:00 pm - 8:00 pm
Sat 12:00 pm - 8:00 pm
Sun 12:00 pm - 8:00 pm
Edit business info"
CHINA CLUB AUDIO & VIDEO,https://en.yelp.com.hk/biz/%E8%8F%AF%E4%BB%81%E5%BD%B1%E9%9F%B3-%E9%A6%99%E6%B8%AF,"10/F, Yau Shing Commercial Centre, 51 Sai Yeung Choi Street South",2787 7992,"Hours
Mon 11:30 am - 9:30 pm Open now
Tue 11:30 am - 9:30 pm
Wed 11:30 am - 9:30 pm
Thu 11:30 am - 9:30 pm
Fri 11:30 am - 9:30 pm
Sat 11:30 am - 9:30 pm
Sun 11:30 am - 9:30 pm
Edit business info"
KAI MEI EXPRESS SERVICES,https://en.yelp.com.hk/biz/%E5%98%89%E7%BE%8E%E5%BF%AB%E9%80%9F%E6%B2%96%E5%8D%B0%E5%85%AC%E5%8F%B8-%E9%A6%99%E6%B8%AF,Tsui Ping (north) Estate Tsui Lau House,2348 7614,"Hours
Mon 10:00 am - 10:00 pm Open now
Tue 10:00 am - 10:00 pm
Wed 10:00 am - 10:00 pm
Thu 10:00 am - 10:00 pm
Fri 10:00 am - 10:00 pm
Sat 10:00 am - 10:00 pm
Sun 10:00 am - 10:00 pm
Edit business info"
ZHAO XIANG GUAN CAMERA WORKSHOP STUDIO EQUIPMENT,https://en.yelp.com.hk/biz/%E7%85%A7%E7%9B%B8%E9%A4%A8%E5%B0%88%E6%A5%AD%E6%94%9D%E5%BD%B1%E5%99%A8%E6%9D%90-%E9%A6%99%E6%B8%AF,"12/F, Kimberley House, 35-35A Kimberley Road",2722 0068,"Hours
Mon 11:00 am - 8:00 pm Open now
Tue 11:00 am - 8:00 pm
Wed 11:00 am - 8:00 pm
Thu 11:00 am - 8:00 pm
Fri 11:00 am - 8:00 pm
Sat 11:00 am - 8:00 pm
Sun Closed
Edit business info"
SAMMY STUDIO,https://en.yelp.com.hk/biz/%E5%96%84%E7%BE%8E%E5%BD%B1%E5%AE%A4-%E9%A6%99%E6%B8%AF,"2/F, 17 Pak Hoi Street",2783 9460,"Hours
Add business hours"
WINGMAX PHOTO & OFFICE SUPPLIES,https://en.yelp.com.hk/biz/%E6%AC%A3%E6%A6%AE%E6%B2%96%E5%8D%B0%E6%96%87%E5%84%80-%E9%A6%99%E6%B8%AF,"Shop 26, G/F, Jubilant Place, 33 Ma Tau Kok Road",2756 2468,"Hours
Add business hours"
SWEETYMAGIC,https://en.yelp.com.hk/biz/sweetymagic-%E9%A6%99%E6%B8%AF,"Room 1908, 19/F, Park-in Commercial Centre, 56 Dundas St",2395 1772,"Hours
Mon 12:00 pm - 10:00 pm Open now
Tue 12:00 pm - 10:00 pm
Wed 12:00 pm - 10:00 pm
Thu 12:00 pm - 10:00 pm
Fri 12:00 pm - 10:00 pm
Sat 12:00 pm - 10:00 pm
Sun 12:00 pm - 10:00 pm
Edit business info"
SUPER KING,https://en.yelp.com.hk/biz/%E8%8B%B1%E4%BA%AC-%E9%A6%99%E6%B8%AF,Located in Yau Shing Commercial Centre,Located in Yau Shing Commercial Centre,"Hours
Mon 11:30 am - 9:30 pm Open now
Tue 11:30 am - 9:30 pm
Wed 11:30 am - 9:30 pm
Thu 11:30 am - 9:30 pm
Fri 11:30 am - 9:30 pm
Sat 11:30 am - 9:30 pm
Sun 11:30 am - 9:30 pm
Edit business info"
PAK HO DIGITAL PRINTING,https://en.yelp.com.hk/biz/%E6%96%B0%E7%99%BE%E5%A5%BD%E6%95%B8%E7%A2%BC%E6%94%9D%E5%BD%B1%E6%B2%96%E5%8D%B0-%E9%A6%99%E6%B8%AF,"Flat B, G/F, Kiu Yu Mansion, 88 Lok Shan Rd",2364 9196,"Hours
Add business hours"
DAGUANGMING,https://en.yelp.com.hk/biz/%E5%A4%A7%E5%85%89%E6%98%8E%E5%BF%AB%E9%80%9F%E6%B2%96%E5%8D%B0-%E9%A6%99%E6%B8%AF,2 Chui Yan Street,,
KODAK EXPRESS,https://en.yelp.com.hk/biz/kodak-express-%E9%A6%99%E6%B8%AF,"G/F, 182A Shanghai Street",2770 8411,"Hours
Mon 11:00 am - 7:00 pm Open now
Tue 11:00 am - 7:00 pm
Wed 11:00 am - 7:00 pm
Thu 11:00 am - 7:00 pm
Fri 11:00 am - 7:00 pm
Sat 11:00 am - 7:00 pm
Sun 11:00 am - 7:00 pm
Edit business info"
MY AFFECTION,https://en.yelp.com.hk/biz/my-affection-%E9%A6%99%E6%B8%AF,"Shop A Basement, G/F, 58-60 Kimberley Road",2366 9330,"Hours
Mon 12:00 pm - 9:00 pm Open now
Tue 12:00 pm - 9:00 pm
Wed 12:00 pm - 9:00 pm
Thu 12:00 pm - 9:00 pm
Fri 12:00 pm - 9:00 pm
Sat 12:00 pm - 9:00 pm
Sun 12:00 pm - 9:00 pm
Edit business info"
SNAP,https://en.yelp.com.hk/biz/snap-%E9%A6%99%E6%B8%AF-3,"Room 1602, 16/F, Chung Kiu Commercial Building, 47-51 Shan Tung Street",3568 1403,"Hours
Mon 11:00 am - 11:00 pm Open now
Tue 11:00 am - 11:00 pm
Wed 11:00 am - 11:00 pm
Thu 11:00 am - 11:00 pm
Fri 11:00 am - 11:00 pm
Sat 11:00 am - 11:00 pm
Sun 11:00 am - 11:00 pm
Edit business info"
SNAPARTY,https://en.yelp.com.hk/biz/snaparty-%E9%A6%99%E6%B8%AF,"3/F, 66 Sai Yeung Choi St",2988 8283,"Hours
Add business hours"
WAN YUAN,https://en.yelp.com.hk/biz/%E8%90%AC%E5%9C%96%E6%98%8E%E6%98%9F%E7%9B%B8%E5%BA%97-%E9%A6%99%E6%B8%AF,"Sino Centre, 582-592 Nathan Road",,"Hours
Add business hours"
POLAB,https://en.yelp.com.hk/biz/polab-%E9%A6%99%E6%B8%AF-2,"Room 05, 21/F, Pakpolee Commercial Centre, 1A Sai Yeung Choi Street",2248 5642,"Hours
Mon 1:00 pm - 9:30 pm Open now
Tue 1:00 pm - 9:30 pm
Wed 1:00 pm - 9:30 pm
Thu 1:00 pm - 9:30 pm
Fri 1:00 pm - 9:30 pm
Sat 1:00 pm - 9:30 pm
Sun 1:00 pm - 9:30 pm
Edit business info"